campaign_touch_id,activity_month,vehicle_segment,model_year_position,powertrain_focus,primary_channel,secondary_channel_syndicated_flag,shopper_intent_decile,market_region_tier,nameplate_lifecycle_stage,incentive_program_pressure_band,competitive_conquest_intensity_band,days_supply_inventory_proxy_band,auto_loan_rate_environment_band,personalization_depth_band,dealer_cosponsored_local_campaign_flag,days_since_last_brand_engagement,major_auto_show_or_event_window_flag,ev_adoption_maturity_region_band,ad_frequency_saturation_risk_band,certified_preowned_vs_new_intent_context,credit_availability_consumer_stress_band,multicultural_locale_creative_match_flag,qualified_marketing_milestone_achieved
AMK-00000001,2024-09,Midsize Sedan,Current Model Year,BEV,Email – CRM,No,5,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Moderate,High – Over 60,Favourable vs Prior Quarter,Generic,No,46,Yes,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00000002,2022-04,Full-Size Pickup,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,3,US – Major Metro,Runout / End of Generation,Light Incentives,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,No,49,No,Growing,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00000003,2022-03,Full-Size Pickup,Current Model Year,ICE,Dealer Co-op – Local Digital,No,7,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Generic,No,41,No,Growing,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00000004,2025-09,Midsize Sedan,Current Model Year,Hybrid,Programmatic Video / CTV,Yes,10,US – Major Metro,Steady State,Light Incentives,Low,Tight – Under 30,Flat,Segmented,No,32,No,Growing,Typical,CPO / Used Consideration,Benign,Yes,0
AMK-00000005,2024-07,Compact SUV / Crossover,Current Model Year,Hybrid,Paid Search,Yes,4,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Segmented,No,38,No,Early Market,Typical,CPO / Used Consideration,Benign,Yes,0
AMK-00000006,2024-05,Midsize / 3-Row SUV,Current Model Year,Hybrid,Paid Social,Yes,9,US – Major Metro,Steady State,Heavy Stair-Step Risk,Low,Balanced,Favourable vs Prior Quarter,Segmented,Yes,43,Yes,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00000007,2022-05,Midsize Sedan,Prior Year Closeout,ICE,Paid Social,Yes,1,US – Major Metro,Steady State,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Generic,No,38,No,Early Market,Typical,New Vehicle Focus,Constrained,No,0
AMK-00000008,2024-05,EV Crossover,Prior Year Closeout,BEV,Paid Social,No,2,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Flat,Generic,No,26,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,1
AMK-00000009,2022-10,Compact SUV / Crossover,Current Model Year,BEV,Paid Social,Yes,9,Other Market,Mid-Cycle Refresh,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Generic,No,34,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00000010,2022-04,EV Crossover,Current Model Year,ICE,Paid Social,Yes,8,US – Suburban / Secondary,Steady State,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,43,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00000011,2023-03,Midsize / 3-Row SUV,Current Model Year,BEV,Paid Search,No,8,US – Suburban / Secondary,Runout / End of Generation,Heavy Stair-Step Risk,Low,Tight – Under 30,Flat,Segmented,Yes,46,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,Yes,1
AMK-00000012,2022-02,Compact SUV / Crossover,Current Model Year,BEV,Paid Social,No,1,Other Market,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Flat,Segmented,No,43,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00000013,2024-12,Midsize / 3-Row SUV,Current Model Year,BEV,Email – CRM,Yes,4,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Low,High – Over 60,Flat,Generic,Yes,38,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00000014,2024-05,Midsize / 3-Row SUV,Current Model Year,BEV,Paid Search,No,5,US – Major Metro,Steady State,Moderate APR / Cash,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,Yes,25,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00000015,2024-07,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,No,4,US – Rural / Exurban,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,37,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,1
AMK-00000016,2025-07,Midsize / 3-Row SUV,Current Model Year,PHEV,Dealer Co-op – Local Digital,No,5,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Flat,Generic,No,55,No,Growing,Typical,Mixed / Undecided,Tightening,Yes,1
AMK-00000017,2023-10,Compact SUV / Crossover,Current Model Year,ICE,Auto Show / Experiential,No,7,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,35,Yes,Mature EV Penetration,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00000018,2024-07,Midsize / 3-Row SUV,Current Model Year,BEV,OEM Website / App,No,3,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,Yes,39,No,Growing,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00000019,2023-09,Midsize / 3-Row SUV,Prior Year Closeout,BEV,OEM Website / App,No,7,US – Rural / Exurban,Steady State,Light Incentives,Low,High – Over 60,Flat,Segmented,No,36,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000020,2024-05,Midsize / 3-Row SUV,Current Model Year,Hybrid,OEM Website / App,No,10,Other Market,Runout / End of Generation,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Segmented,No,37,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00000021,2024-06,Full-Size Pickup,Prior Year Closeout,ICE,Auto Show / Experiential,No,7,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Favourable vs Prior Quarter,Generic,No,37,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00000022,2022-05,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,7,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,37,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,No,0
